,job_descn
23,"Roles & Responsibilities Diagnose and resolve software and hardware incidents, including operating systems - Windows and Linux desktop/Servers To assist all users with any logged IT related incident Take ownership of issues by carrying out problem analysis to implement temporary or permanent fixes with the aim to restoring services Support Data center infrastructure including Server hardware, LAN & WAN Coordinating with remote teams to support end to end DC operations Install and configure new IT equipment’s - printers, Copiers, Scanners and any other authorized peripheral equipment Ensure system uptime for data center IT equipment Work with vendors to repair/broken services/hardware etc. Work with teams on establishing  network design principles, practices, implementations, documentation and LAN/WAN/WLAN/Firewall maintenance Conduct assessments and make recommendations on disaster recovery, remote access and storage infrastructure Conduct incident triage and response, including working with firewall and device logs, investigating security events, protecting forensic value of data and establishing monitoring and incident reporting and response procedures. Work on establishing consistent metrics and collection methods for device log aggregation and review procedures Assist with defining the objectives of network implementations including developing and reviewing proposals and presentations Oversee security of hosted services and applications including security requirements and architecture, risk analysis, and periodic change reviews Work closely with team to help report issues and manage project deliverables and provide status and progress reports Maintain daily tape backup and off-site tape storage Escalate requests to the appropriate third party/vendor, as needed   Requirements Bachelor's degree in Computer Science or equivalent. Certifications such as MCP, A+, ITIL, CCNA and RHEL preferred. Minimum of 7 to 10 years of experience with designing, implementing and maintain Network Infrastructure. Manage Desktop/Workstation & network hardware/software. Proven work experience as a Desktop Support Engineer, Technical Support Engineer or similar role Hands-on experience with Windows/Linux/Mac OS environments Working knowledge of office automation products and computer peripherals, like printers and scanners Knowledge of network security practices and anti-virus programs Knowledge on Virtual and cloud Environment  - Azure, VMWare Esxi Ability to perform remote troubleshooting and provide clear instructions Excellent problem-solving and multitasking skills To be a highly motivated team player with the skills and ability to manage changing priorities Expert knowledge of networking and routing protocols such as, TCP/IP, BGP4 (multi-homing), OSPF (multi-rea), RIP, ISIS, etc. Expert working knowledge in the operation of Ethernet LAN switching protocols and standards including, VLANs, VLAN aggregation, Ether Channel, PVLANs, Spanning Tree & Rapid Spanning Tree, 802.1Q Extensive background in planning and designing projects and analyzing existing network systems and procedures for efficiency and effectiveness Experience with Optimization, Riverbed preferred Experience with Network Access Control preferred Experience with Palo Alto Network Firewalls and Global Protect VPN Experience with Aruba Networks WLAN, Airwave products Expert knowledge of data center design, build-out, and best practices Experienced in designing and implementing Business Continuity Plans and Disaster Recovery Plans and facilities Ability to analyze network packet traces (PCAP). Extensive knowledge of network security systems, intrusion detection systems and protocols including VPN, GRE, IPSEC, IKE, TACACS, RADIUS, ACLs, 802.1x, audits, log files etc. Basic knowledge of shell scripting and programming languages such a PERL, Ruby, PHP, or Python Experience of DNS and DHCP and Microsoft AD infrastructure. Experience of network security systems, IDS’ and protocols including, ACE, ACS, VPN, GRE, IPSEC, IKE, TACACS, RADIUS, ACLs, 802.1x, audits, log files Excellent communication skills, including the ability to create, maintain and publish support documentation, policies, and guidelines Certifications: MCP, A+, CCNA, CCNP, HP, RHEL, Palo Alto, Aruba networks Certs preferred "
24,"Roles & Responsibilities A reputable Airline Company.  Responsibilities:​​​  Responsible for ensuring key contact center metrics and objectives are met, sustained and evaluated as necessary to continually improve contact center productivity and performance. Working with outsourced providers and internal contact center operations in demand forecasts and workforce scheduling. Maintain contact center reporting as well as the analysis and implementation of additional reports and dashboards needed to provide data necessary to measure key performance indicators related to contact center operations.   Key Responsibilities: Vendor Management   Support and participate in contract negotiations for new or existing contact center vendors. Understands and uses of various contracting models (e.g. FTE/UTP) to develop reward/penalty system to hold vendors accountable for meeting high performance standards and driving necessary remediation actions. Report on key business metrics to management, measuring results and actionable feedback to the field. Provide analytics and guidance to management to ensure that operational metrics are achieved, including but not limited to, Average wait time, Service Levels, Occupancy and Productivity. Work with internal departments to add insights into operational reports and data and direct the development and implementation of all contact center reporting needs to ensure achievement of departmental goals and identify areas for improvement. Monitor performance to ensure attainment of service and budget goals. Contribute to the annual and ongoing budget process.  Workforce Management  Ensures demand forecasts, schedules and analytics are timely, accurate and directs the planning and implementation of integrated resource planning. Provide vendors with all forecast volume by channel and site and ensure that each site and vendor has the right allocation of volume. Challenge vendors’ processes on workforce management and optimization. Understands and able to use workforce management techniques to make intra-day/week/month/year adjustments/forecasts to maximize resource efficiencies and achieve service level goals/business objectives. Drive real time strategies around call routing, agent skilling, vendor utilization, shrinkage management and capacity utilization. Proactively communicate any deficiencies in coverage or service levels to internal stakeholders, along with any underlying causes and remedial actions.   RequirementsRequirements:  Degree in any discipline from reputable University. More than 5 years' experience in Call Center management, front line customer service and operations management. Knowledge of Call Center processes and systems (e.g. Genesys, WFM). Experience of service delivery through mix of global outsourcers. Professional and technical knowledge from tracking emerging trends contact center operations management. Possess highly analytical and negotiation skills. Airline background and COPC qualifications would be a bonus. Excellent interpersonal and communication skills. Customer centric and service oriented. Ability to multitask and work under stressful environment.  ​​Other Information:​  Working Location: Changi/Bedok. Working Hours: Mondays to Fridays, 8.30am to 5.30pm.  To apply, please visit www.gmprecruit.com and search for Job Reference: 13867. To learn more about this opportunity, please contact Novita Tan at novita.adisutanto@gmprecruit.com We regret that only shortlisted candidates will be notified. GMP Recruitment Services (S) Pte Ltd | EA License: 09C3051 | EA Personnel: Novita Tan | Registration No: R1220374"
25,"Roles & Responsibilities Develop, maintain and enhance key elements of the  strategy and policy—to be applied by business and process owners—including risk and control self-assessment framework, scenario analysis, risk event management, issue management, monitoring and reporting Collaborate with business/process owners and business unit controllers to prioritize and apply Policy standards Serve as a liaison and subject matter expert with controllers, business and process owners on risk identification and assessment, as well as control identification, assessment and monitoring; recommend practical alternatives for risk mitigation and process improvement Create a culture of risk awareness across the organization by developing and implementing communications and training strategies to drive s strong control environment and accountability for risk management Develop, implement and maintain process to aggregate risk events and issues across business functions to identify and analyze themes, trends and control gaps Develop data-driven, risk-based insights and management reporting to support business decisions at senior, executive and Board levels Requirements Strong leader and strategic thinker Expertise in risk management frameworks gained through operations, business advisory and/or audit roles is preferred Ability to develop and implement strategy to meet corporate objectives and provide insights to executive management Experienced risk manager with extensive program management experience Broad exposure to business risks across IT, finance and other business environments is essential Consultative mindset and reputation for being a strong business partner Background in telecommunications or payments industry preferred Ability to effectively interact and influence people at all levels Global work experience and capacity to manage tasks across multiple regions, cultures and time zones Excellent oral, written and presentation skills Demonstrated process and project management capabilities "
26,"Roles & ResponsibilitiesOur Account Manager will manage the client engagement, contract deliverables and planning whilst delivering reports, insights and strategic guidance. We need an enthusiastic and clear communicator, an independent thinker and a customer centric individual who is capable of multitasking. Partnering with the Head of Growth (Business Development) you will translate the client’s requirements into a comprehensive project plan which you will own. As the client evangelist, you will provide clarity and visibility for the internal teams to ensure all milestones are understood and achieved. Using your strong client relationships you will help colleagues build effective relationships at every level within the client’s organisation to promote Sparkline’s value across their business. THE PERSON: As a reputable problem solver you will use your big picture ideas and effective communication skills to help the team remove roadblocks to success. Possessing knowledge and passion for the digital space, you will be in a position to understand the client’s landscape and potential problems to solve. You will establish yourself as a recognised business partner, with an in-depth knowledge of your client’s business utilising your digital/data analytics experience. You will be able to anticipate, address and escalate any client issues to ensure the client and Sparkline’s management team are aware. In turn, this unique perspective will allow you to identify new areas of interest and value added opportunities to expand our relationship with the customer.RequirementsYOU WILL BRING: ● 5+ years experience in key account management or customer service is essential and preferably across a Digital domain ● Ideal experience would be 3+ years project management experience in a consulting firm, publisher or media buying agency ● Previous experience in sales-related/commercially focused role is essential to success in this role ● A must have would be a passion for digital marketing with a solid understanding of interactive marketing channels (search, online media, website development, etc.) and brand marketing principles. ● Knowledge of the main channels of online acquisition: search engines (SEO, SEM, bid-management tools), display, email marketing, e-commerce, social media (Facebook, Twitter, YouTube, etc..) AdExchange, mobile Internet, smartphones applications or tablets, etc.. ● Excellent verbal, written and visualization skills. Able to create, concise, professional documents and comfortable presenting analysis and insights to stakeholders and clients at all levels. ● Strong work ethic with the ability to adapt to the situation; flexible and nimble in terms of work planning and able to think on your feet to resolve issues. ● A capable brand ambassador for Sparkline. An energetic self-starter, excited about the opportunity to make this role their own. ● A team player with a proven track record engaging cross-functional teams to go above and beyond. ● A ‘can do’ work ethic and enthusiasm for continuous learning in the digital space."
27,"Roles & Responsibilities• Design of mechanical seal support systems • Preparation of Piping & Instrumentation Diagrams (P&ID), General Arrangement Drawings (GAD) & Bill of Materials & drawings for pressure vessels, pipe spool & skid fabrication, weld map & fitment, piping isometric & electrical wiring diagrams • Review of technical specifications and preparation of Technical Offer • Documentation of all design calculations, systems drawings, documents issue & control • Hands on experience of using Solid Edge CAD software • Solid Edge-CAD package customization & library creation for 3D part, sub-assemblies & main assemblies. • Preparing of basic design, process flow design, piping and instrumentation diagram, technical specification, instrument and equipment data sheets, wiring diagram and operating philosophy. • Selection of Instruments, electrical and instrument cables, junction box and other wiring accessories • Reviewing of process and safety requirements • Managing existing vendors and developing new vendors • Undertaking Site surveys to understand customer issues • Installation / commissioning of equipments at site • Any other duties as may be assigned by supervisor from time to time.Requirements• Engineering Degree in Mechanical / Instrumentation / Electrical / Electronics Engineering.  • 2 to 4 years of experience with Systems design. • Experience in Installation and Commissioning of equipments in Refineries / Petrochemical plants will be an advantage. • Should be familiar with Sold Edge CAD software or have aptitude to learn the software • Should have good experience in preparing Data sheets for Instruments and Equipments. • Should be familiar with Mechanical requirements of piping, equipments and related ASME Standards • Good hands on experience in MS Office - MS Word, Excel and power point • Self driven, good communication skills, presentation skills & a good team player. • Willing to travel for discussions with the Customer, attending site issues etc • Experience in designing full-fledged integrated Dry Gas Seal Systems • Experience in handling projects"
28,"Roles & Responsibilities Maintain established files in accordance with internal procedures Travel arrangements Meeting arrangements Managing invoice, PO via online system Managing data and reporting Assist in internal events - Townhall Provide administrative support to HR Handle other administrative duties as assigned Requirements Diploma or any related discipline with at least 1 year of experience Self motivated with the ability to work independently and in a team Possess high self-esteem, high tolerance for straight forwardness and highly receptive Meticulous and good in coordination Other ad-hoc duties assigned from time to time "
29,"Roles & ResponsibilitiesA full-time Research Fellow position is available in handling research and administrative duties to the principal investigator in Virtual Singapore project. Major duties and responsibilities:  To undertake research and evaluate outcomes based on the research objectives and plans. Plan, coordinate and implement research programmes in accordance with university strategy, policy and procedures and funder requirements Performing data analytics. Writing or contributing to publications or disseminating research findings using media appropriate to the discipline. Make presentations at conferences or exhibit work at other appropriate events. Assess, interpret and evaluate outcomes of research. Develop new concepts and ideas to extend intellectual understanding. Resolve problems of meeting research objectives and deadlines. Lead or guide the work of research assistants and student helpers. Mentor colleagues with less experience and advise on professional development. Coach and support colleagues in developing their research techniques. Supervise the work of others, for example in research teams or projects. Attend project meetings. Attend area seminars and other meetings as necessary. Prepare progress reports. Prepare other articles, reports and presentations. Participate in administrative work and tasks.  Kindly send the CV to Prof Wong Nyuk Hien (bdgmarc@nus.edu.sg).RequirementsThe applicant would preferably be a qualified PhD degree from a relevant field, particularly urban climate, urban 3D modelling (CityGML), and simulation (climate and energy). Experience, expertise, and knowledge in urban heat island, climate change, energy modelling, and performance analytics are essential. Basic skills in 3D modelling or parametric (SketchUp, Rhino, Grasshopper, etc), statistical software (SPSS, Matlab), and programming/coding (Python) would be an added advantage. Familiarity with Microsoft Office Applications (MS Word, Excel, and Power point), Building Information Modelling (BIM) and Geographic Information System (GIS) would be useful. The successful candidate will be engaged in Virtual Singapore (VSg) Phase II project, in which related with macro and microclimate analysis in both urban and building scale."
30,"Roles & ResponsibilitiesWe are looking to hire an senior onsite recruiter for one of our banking client in SG! The key focus for the Recruiter is to lead the successful fulfilment of open vacancies with relevant hiring managers and to be the first point of contact for their hiring needs of the retail banking portfolio.  Your duties may include, but are not limited to:   • Undertaking recruitment activities with a focus on direct sourcing.  • Understanding the recruitment delivery process and carrying out activities accordingly to ensure that account KPIs are met.  • Communicating recruitment trends, market intelligence, and acting as a Talent Advisor to hiring managers.    • Identifying and escalating risk or compliance issues.  • Managing requisitions through accurate documentation of all recruitment related data and information as per current recruitment legislation and agreed client process at all times.  • Providing recruitment guidance and advice to the Recruitment Sourcing Specialists and Recruitment Coordinators located in the Recruitment Delivery Center.  • Monitoring and analyzing recruitment activity of designated business area for accurate volume forecasting.    • Coaching candidates on how to prepare for selection stages.  • Providing professional advice and open and honest feedback to candidates in a timely manner and in accordance with recruitment best practice.    • Utilizing specialist market knowledge to assist with the development and on-going management of pre-qualified Talent Pools in collaboration with the Recruitment Sourcing Specialist.  Requirements Prior experience in end-to-end recruitment within the staffing industry or Corporate HR, preferably with a global organization. High volume of recruitment experience is a must Prior experience conducting behavioral based interviews for a variety of roles.  Successful experience managing multiple searches, and stakeholders, at different stages of the recruitment lifecycle at the same time. Excellent communication and interpersonal skills.  Functional knowledge of Microsoft Office.  Prior experience in using an Applicant Tracking System (ATS).  Ability to write client oriented communications e.g. emails, job descriptions.  Tertiary qualification in business or a related discipline is highly desirable. Bachelor’s degree preferred "
31,Roles & ResponsibilitiesThe Job  Analysing and grading large sets of data relevant to specific markets Investigating and providing feedback on issues reported Validating and correcting data from external sources RequirementsThe Talent  Min degree/diploma in any discipline. Strong web analytical and problem solving skills Hands on experience on quantitative analysis are required. Outstanding relationship building and problem solving skills. Required to have good geographical knowledge and the written local language of Korea 
32,"Roles & Responsibilities Develop and implement One Animation’s content strategy for YouTube in order to drive traffic, audience engagement, retention, and revenue growth, as per assigned KPIs. Manage the content production and editorial calendar. Keep track of all tasks, workflows, and deadlines. All aspects of day-to-day channel management and content curation, including content uploading and scheduling, refreshing playlists and key channel areas, as well as overall channel optimization and best practices. Create YouTube video compiles using existing available videos assets, as well as other relevant YouTube assets such as thumbnails, cards, end screens, etc. Write, edit, and manage loglines, descriptions, and other required elements for the platform. Create and apply all relevant metadata and tags to channels and content; ensure metadata is consistent with Brand, and optimized for search and user experience. Liaise with in-house Production and Creative teams to source all relevant video and graphic assets. Source multi language translation for localized channels: liaise with relevant internal and external parties. Liaise with Marketing team to support strategic content marketing initiatives. Liaise with Social Media & Community Managers to better understand our audience and their direct feedback. Analyze and track content performance vs KPIs; identify and map out new ways to repurpose content in order to maximize discoverability and increase reach and viewership. Continue to refine the content strategy based on performance metrics. Liaise with Content Analyst and present YouTube-specific insights and trends to the broader team (through regular reporting as well as deep dive presentations). Create and implement relevant tracking/blocking/monetization policies on YouTube’s Content ID. Liaise with Legal team with regards to content claiming and content takedowns. Any other task relevant to the role, as required.    Job Requirements:  2+ years of experience in YouTube channel management and 4+ years of relevant experience in creating content that builds audience engagement and increases reach. Proficient in content management systems, video publishing, live streaming, and digital analytics tools. Comprehensive knowledge of YouTube’s CMS and Content ID; comfortable with interpreting data from Google Analytics. Able to identify, analyze, and interpret trends or patterns in complex data sets. Demonstrated personal management skills such as setting priorities, managing time, decision making, and multitasking. Excellent written and oral communications skills and a team-oriented work ethic. Strategic thinking and creative problem-solving skills. Entrepreneurial instincts and a can-do attitude. Eye for the big picture, but also an enjoyment of hands-on, day-to-day operations. Multi-language skills (i.e. Spanish, French, and Portuguese) in order to manage localised channels. Detail-oriented: meticulous attention to detail.     RequirementsDesirable:  Adept to Change: Comfortable in an evolving startup environment and can embrace and adjust to change with enthusiasm and focus. Organized: Can manage multiple operational tasks simultaneously, focusing effort based on priorities and leadership direction, and able to deliver results with a consistent approach. Thrive under deadline pressure. A creative flair. Familiar with Oddbods and other One Animation shows.      "
33,"Roles & Responsibilities Coordinate, evaluate patients who fall within the research study recruitment.  Consent patients, collect samples from patients and follow-up with clinical data.  Clinical data safe keeping.  Project planning with research team.    RequirementsQualification:   Bachelor in science-related field, nursing or equivalent degree  Experience:   Previous experience as a research coordinator/ nurse will be an added advantage.   Skills:   Phlebotomy skills is preferred  Interested applicants are invited to email a detailed resume stating your current and expected salary to alliedhealth@nuhs.edu.sg Please indicate in the subject title as: ""Applying for position of Clinical Research Coordinator (Contract)_O&G Department” We regret that only shortlisted candidates will be notified."
34,"Roles & ResponsibilitiesThe Marketing Manager contributes to the realisation of the organisation's business strategies by driving its marketing and public relations programmes. He/She is also responsible for directing the organisation's communication plans, generating data-driven commercial insights and monitoring budgets. The Marketing Manager works in a fast-paced, dynamic and digitally-centric environment where he/she is expected to lead the development of appealing marketing concepts to promote the organisation and its products. The Marketing Manager is an innovative, energetic, collaborative and highly adaptable team leader. He/She is digitally-savvy and possesses a strong business acumen with a high level of initiative and capacity to work under high pressure.Requirements ~ Analyse new market trends, business opportunities and market segments in global and local landscape. ~ Analyse past performance of collections, categories and campaigns to improve marketing effectiveness and ROI. ~ Assess effectiveness of public relations communication programmes. ~ Define marketing performance measurements in alignment to marketing objectives and strategies. ~ Develop content for online platforms. ~ Develop crisis management action and communication plan. ~ Develop expense forecast and budget allocations. ~ Develop marketing campaigns across offline, digital and social media platforms. ~ Develop website traffic and/or inbound marketing plan. ~ Evaluate end-to-end customer experience across offline and digital platforms and customer touch points. ~ Generate ideas and strategies based upon data-driven insights and recommendations. ~ Manage creative concept of marketing campaigns and communications materials. ~ Manage crisis management communication plans. ~ Manage internal and external communication platforms and channels. ~ Manage offline (traditional) media channels. ~ Manage organization and/or brand reputation. ~ Manage public relations activities. ~ Manage social media platforms. ~ Monitor implementation of marketing campaign. ~ Plan and manage roadshows, promotions and events."
35,"Roles & ResponsibilitiesThe Agency for Science, Technology and Research (A*STAR) is Singapore's lead public sector agency that fosters world-class scientific research and talent to drive economic growth and transform Singapore into a vibrant knowledge-based and innovation driven economy.  For more information about A*STAR, please visit: www.a-star.edu.sg - Be part of a taskforce to support and contribute to the Smart Manufacturing Group (Industry 4.0) vision for the centre - Design and build prototypes, products and systems suitable for testing and set up on Model Factory test bed - Technical planning, execution and delivery of development projects for global industry members - Writing of technical reports and presentation of technical result - Design overall automation solution including system engineering, maintenance and upgrade plans, network architecture and software application - Implementation of security and data protection - Ensure continuity of essential compute, network and storage services - Oversee a robust backup strategy including verification of its efficacy - Administer physical servers and an OpenStack virtualization platform - Direct and execute maintenance of physical and virtual systems with zero-downtime as a baseline - Support the integration of new, cutting-edge software and hardware, with a focus on industrial manufacturing - Manage and track both core and peripheral assets of the infrastructureRequirements Bachelor in Engineering or Computer Science 5 years experience with automation system 5-10 years experience in IPv4 and IPv6 networking, L2 and L3 protocols including VLAN and relevant security/firewalling Strong leadership skills and the ability to work with others to achieve project goals A desire to learn new technologies, and help others to develop their knowledge to work together effectively  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified."
36,"Roles & ResponsibilitiesCyber threats, social media, massive data storage, privacy requirements and continuity of the business as usual require heavy information security measures. As an information security specialist, you will lead the implementation of security solutions for our clients and support the clients in their desire to protect the business.   The opportunity You will belong to an international connected team of specialists helping our clients with their most complex information security needs and contributing toward their business resilience. As a cybersecurity consultant, you will work with a team of cyber security experts to implement security solutions for our clients and support the clients in their desire to protect the business. You will belong to an international connected team of specialists helping our clients with their most complex information security needs and contributing toward their business resilience. We will support you with career-long training and coaching to develop your skills. As EY is a global leading service provider in this space, you will be working with the best of the best in a collaborative environment. So whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. This is a role where no two days are the same – so you’ll find yourself taking on plenty of new responsibilities as you go. You’ll work alongside clients and colleagues, balancing your time between developing security strategies, advising stakeholders, providing workshops and supporting business development. If you’re flexible and ready to adapt to a constantly changing environment, there’s no better place to develop your skills. Since you’ll be working directly with clients, some travel will be required.RequirementsSkills and attributes for success  Perform security assessments for clients through attack and penetration (primarily network penetration testing, web application vulnerability assessment and source code security review) Evaluate and analyze threat, vulnerability, impact and risk to security issues discovered from security assessments Advise clients on the security issues, including explanation on the technical details and how they can remediate the vulnerabilities in the systems. Perform research on latest threats and vulnerabilities as part of the Ernst & Young Global Advanced Security Centers (ASCs) initiative. Consistently deliver quality client services and manage expectations of client service delivery. Drive high-quality work products within expected timeframes and on budget. Monitor progress, manage risk and ensure key stakeholders are kept informed about progress and expected outcomes. Stay abreast of current business and industry trends relevant to the client's business. Develop and maintain long-term relationships and networks with clients and internal EY stakeholders Demonstrate deep technical capabilities and professional knowledge. Possess in depth business acumen and demonstrate ability to quickly assimilate to new knowledge. Perform penetration testing on SCADA/ICS/IOT systems Review and assess security controls associated with SCADA, ICS and IOT systems Advice clients on cyber security guidelines and best practices Remain current on new developments in advisory services capabilities and industry knowledge.     To qualify for the role you must have   A recognized university degree in Computer Science, Computer/Electrical Engineering, Information Technology or equivalent.   Have at least one year of relevant working experience with implementation or deployment ICS/SCADA/IOT systems   Knowledge in penetration testing, programming, networks and operating systems would be an added advantage   Strong interest in the field of cyber security in industrial control systems and internet of things.   Creative, independent with good problem solving skills   Strong analytical, interpersonal, communication and writing skillWillingness to travel on overseas assignment as the need arises   Ideally, you’ll also have   Professional certifications such as Offensive Security Certified Professional (OSCP), Global Industrial Cyber Security Professional (GICSP), GIAC Penetration Tester (GPEN), Certified Information Systems Auditor (CISA) and / or Certified Information Systems Security Professional (CISSP) will have higher standing.   Preferably at least one year of relevant working experience in cyber security in ICS/SCADA/IOT systems     What we look for Highly motivated individuals with excellent problem-solving skills and the ability to prioritize shifting workloads in a rapidly changing industry. An effective communicator, you’ll be a confident team player that collaborates with people from various teams while looking to develop your career in a dynamic organization.   What working at EY offers We offer a competitive compensation package where you’ll be rewarded based on your performance and recognized for the value you bring to our business. We also offer you:   Support, coaching and feedback from some of the most engaging colleagues around   Opportunities to develop new skills and progress your career   The freedom and flexibility to handle your role in a way that’s right for you     About EY As a global leader in assurance, tax, transaction and advisory services, we’re using the finance products, expertise and systems we’ve developed to build a better working world. That starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, we’ll make our ambition to be the best employer by 2020 a reality.   If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible. Join us in building a better working world. Apply now."
37,"Roles & ResponsibilitiesJob Description  Oversee the development of game production from concept to live online operations (end to end) Experienced in managing a diverse team of artists, game designers, programmers and external vendors Collect estimates from design, art, programming, and QA leads to generate project schedules and set release dates Run daily meetings to ensure all tasks are on track Collaborate with team leads to ensure that all deadlines are being met and alleviating dependencies that block development Review schedules with management and team leads, defining what is expected in each milestone/sprint Provide regular reports on the game’s performance and make recommendations & adjustments Analyze data metrics and recommend improvements to the product in order to  improve the revenue model, marketing, new user acquisition, and existing user retention RequirementsQualifications:  Minimum Degree/diploma in a related field Minimum. 8 years of relevant experience, with 2 published titles Possess great communication and presentation skills Possess the leadership skills to lead a team of 12 or more staff Have a strong interest in social games    Skills:  Proven ability to identify, understand, prioritize, plan and articulate market & customer requirements Strong analytic skills and experience with metrics driven decision making A passionate, performance-driven individual with a strong business acumen Leadership, ability to work as part of a team and establish relationships with other departments Ability to adapt and to manage changes Reliability, ability to work under tight deadlines "
38,"Roles & ResponsibilitiesCompany overview: Google is not a conventional company, and we don’t intend to become one. True, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards. Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit www.google.com/careers. The area: People Operations Great just isn't good enough for our People Operations team (you probably know us better as ""Human Resources""). Made up of equal parts HR professionals, former consultants and analysts, we're the champions of Google's colorful culture. In People Ops, we ""find them, grow them, and keep them"" - we bring the world's most innovative people to Google and provide the programs that help them thrive. Whether recruiting the next great Googler, refining our core programs, developing talent or simply looking for ways to inject some more fun into the lives of our Googlers, we bring a data-driven approach that is reinventing the human resources field. The role: Talent Programs and Events Specialist - Singapore Google is known for our innovative technologies, products and services — and for the people behind them. The Google People Services (GPS) team focuses on providing an amazing experience to past, present and future Googlers. As a Programs Specialist, you will enthusiastically represent the Google brand and build our talent pipeline. Whether it’s making our staffing systems more efficient, planning for our growth, building relationships on college campuses or cultivating the next generation of computer scientists, you will have an eye on the staffing needs of Google and the broader hiring landscape. You'll be focused on cultivating outstanding candidates for Google's long-term hiring needs, and you are the glue that ties together a cross-functional and international group of staffing teams. Additional Role Description: The Talent Programs and Events team, part of GPS, is focused on promoting Google as an exceptional place to work for experienced talent, building a robust and diverse pipeline of outstanding candidates, and collaborating cross-functionally and globally to build and refine partnerships and outreach. Whether you are developing events that will engage a target talent profile, building relationships with external organizations, or developing strategies to attract talent to Google’s workforce, you will have an eye on Google’s short- and long-term growth needs and a pulse of the broader brand landscape. You will partner with various Staffing and Product Areas to build a comprehensive outreach strategy from the ground up and ensure perfect execution. Responsibilities: - Develop and execute events and programs for external candidates, track results and scale where possible. Partner with internal entities to create comprehensive program and event strategies. - Plan and execute recruiting and employment branding events, ranging from small intimate programs to large scale productions. - Manage relationships with key external organizations and groups to cultivate a partnership and enhance Google’s brand in the employment marketplace. - Develop and implement events, including program mapping and planning, budgets, stakeholder buy-in, logistics, messaging, developing content with Googlers, and other core elements to successfully meet event objectives. Contribute to the online presence and public messaging by creating interesting and informational web and collateral content. - Build relationships with vendors, internal team members, and a wide range of stakeholders across Google to manage expectations and ensure high-quality event management.RequirementsMinimum qualifications: - Bachelor's degree or equivalent practical experience. - 5 years of experience in program/event planning, recruiting, marketing, HR, consulting or a related area. - Ability to travel up to 50% of the time. Preferred qualifications: - Ability to focus on providing top-quality client support for the coordination and seamless delivery of events. - Ability to prioritize and complete multiple tasks, and follow through with team members to achieve group and individual goals. - Willingness to roll up your sleeves and get the job done. - Demonstrated project and budget management and organizational skills. - Excellent relationship management skills, including negotiation, influencing, and interpersonal communications."
